country,city,reportRating,reportByMunicipalityUser,confidence,reliability,type,uuid,roadType,magvar,subtype,street,pubMillis,location_x,location_y,reportDescription,data_evento
BR,Rio de Janeiro,5,false,5,10,HAZARD,5e13d6f5-ba86-4a2b-bac6-88816a5e21a5,2,225,HAZARD_ON_ROAD_POT_HOLE,Est. do Monteiro,2025-05-12 10:15:45-03:00,-43.563784,-22.92165,,2025-05-12
BR,Itaguaí,0,false,1,7,HAZARD,3af6613f-ff67-444e-980a-e44112fd3782,1,214,HAZARD_ON_ROAD_POT_HOLE,R. Maria Cândida,2025-05-12 13:20:35-03:00,-43.764802,-22.873631,,2025-05-12
BR,Rio de Janeiro,2,false,1,7,HAZARD,03bef47b-f171-42db-a4b9-697d03b3c657,1,56,HAZARD_ON_ROAD_POT_HOLE,R. Soldado Francisco Savastana,2025-05-12 23:33:10-03:00,-43.570306,-22.882434,,2025-05-12
BR,Rio de Janeiro,3,false,5,10,HAZARD,96603305-6abf-4382-a2e4-7c66ac8148f7,1,340,HAZARD_ON_ROAD_POT_HOLE,R. Araçoiaba,2025-05-12 14:09:52-03:00,-43.364763,-22.851739,,2025-05-12
BR,Belford Roxo,1,false,2,9,HAZARD,5ae14935-2451-4bce-8dcc-62c2eebc5643,1,333,HAZARD_ON_ROAD_POT_HOLE,R. Nunes Sampaio,2025-05-12 18:27:29-03:00,-43.422826,-22.748881,,2025-05-12
BR,Rio de Janeiro,2,false,2,10,HAZARD,ec7b8183-945b-4c87-978a-91f7d218e671,1,261,HAZARD_ON_ROAD_POT_HOLE,R. do Paraibano,2025-05-12 19:16:42-03:00,-43.540941,-22.856336,,2025-05-12
BR,Rio de Janeiro,0,false,0,6,HAZARD,51b607cd-5731-4ed2-8c9f-7397cba8ee9a,1,12,HAZARD_ON_ROAD_POT_HOLE,R. do Manoel,2025-05-12 16:58:51-03:00,-43.64406,-22.944239,,2025-05-12
BR,Rio de Janeiro,2,false,1,7,HAZARD,14a574b0-e4cc-4669-975c-e1b559de0ee4,1,274,HAZARD_ON_ROAD_POT_HOLE,R. Gilberto Martins Ribeiro,2025-05-12 23:26:13-03:00,-43.563687,-22.879598,,2025-05-12
BR,Itaguaí,0,false,5,10,HAZARD,a86d4481-8f60-453f-ab56-9fcff677eb88,1,207,HAZARD_ON_ROAD_POT_HOLE,Est. José Maia de Oliveira,2025-05-12 22:49:07-03:00,-43.762237,-22.832079,,2025-05-12
BR,Itaguaí,0,false,3,10,HAZARD,d8574841-7819-41a8-ae31-00e261fabaa8,1,193,HAZARD_ON_ROAD_POT_HOLE,Est. José Maia de Oliveira,2025-05-12 22:47:07-03:00,-43.759294,-22.822885,,2025-05-12
BR,Rio de Janeiro,1,false,1,8,HAZARD,6e5f3203-3fc8-44d5-9c1c-95761f2e1c2c,1,245,HAZARD_ON_ROAD_POT_HOLE,R. Japaraíba,2025-05-12 19:08:50-03:00,-43.547212,-22.921872,,2025-05-12
BR,Rio de Janeiro,3,false,5,10,HAZARD,ff26cd59-5e0d-4d35-a92e-82dfaaaec2a5,1,287,HAZARD_ON_ROAD_POT_HOLE,R. Rio Manso,2025-05-12 17:19:46-03:00,-43.570512,-22.896716,,2025-05-12
BR,Itaguaí,2,false,3,10,HAZARD,b3d71562-e41b-4000-ab49-3c2b977d5148,1,34,HAZARD_ON_ROAD_POT_HOLE,R. Maria Cândida,2025-05-12 14:28:24-03:00,-43.765248,-22.874226,,2025-05-12
BR,Rio de Janeiro,3,false,1,9,HAZARD,da621315-295d-48fc-ae5b-1b1a9140d42c,1,359,HAZARD_ON_ROAD_POT_HOLE,R. do Catumbi,2025-05-12 09:31:02-03:00,-43.194947,-22.916936,,2025-05-12
BR,Rio de Janeiro,1,false,0,5,HAZARD,eae5b3f7-6c5c-454d-a5a1-5c124a5ed78b,17,359,HAZARD_ON_ROAD_POT_HOLE,,2025-05-12 12:28:32-03:00,-43.576333,-22.951441,,2025-05-12
BR,Rio de Janeiro,2,false,0,7,HAZARD,846929bd-0c45-4bf2-8e30-808c6e04bd84,2,200,HAZARD_ON_ROAD_POT_HOLE,Est. do Mato Alto,2025-05-12 17:42:46-03:00,-43.581112,-22.959147,,2025-05-12
BR,Itaguaí,2,false,3,10,HAZARD,0af94a6f-59fc-447b-a78d-2c0b567da96f,2,305,HAZARD_ON_ROAD_POT_HOLE,Av. Ayrton Senna da Silva,2025-05-12 17:53:29-03:00,-43.768341,-22.877166,,2025-05-12
BR,Rio de Janeiro,5,false,0,6,ROAD_CLOSED,43d03810-3c65-45e1-a336-6e356013c817,2,111,ROAD_CLOSED_EVENT,,2025-05-12 12:00:09-03:00,-43.209707,-22.934778,,2025-05-12
BR,Rio de Janeiro,2,false,5,10,HAZARD,630a6ebd-5b40-4996-a70d-6262774c1351,2,193,HAZARD_ON_ROAD_POT_HOLE,Est. do Monteiro,2025-05-12 08:22:20-03:00,-43.574477,-22.931644,,2025-05-12
BR,Rio de Janeiro,4,false,5,10,HAZARD,0775cdfa-d744-480e-8a5a-9030b556c7eb,1,230,HAZARD_ON_ROAD_POT_HOLE,,2025-05-12 03:08:26-03:00,-43.235935,-22.881945,,2025-05-12
BR,Nova Iguaçu,2,false,2,10,HAZARD,62f4791c-b9e5-49b5-bcc4-d81b28cb47a5,1,183,HAZARD_ON_ROAD_POT_HOLE,Est. Granja,2025-05-12 09:46:12-03:00,-43.53078,-22.762817,,2025-05-12
BR,Belford Roxo,1,false,1,8,HAZARD,25421cd4-6d35-4b43-b4cc-f1ccf6fe09f0,17,48,HAZARD_ON_ROAD_POT_HOLE,R. Cardoso Martins,2025-05-12 15:16:07-03:00,-43.382976,-22.750427,,2025-05-12
