country,city,reportrating,reportbymunicipalityuser,confidence,reliability,type,uuid,roadtype,magvar,subtype,street,pubmillis,location_x,location_y,reportdescription,data_evento,bairro,zona
BR,Rio de Janeiro,5,False,0,6,ROAD_CLOSED,ad547e89-de8f-401a-a1a3-509405b3a3e9,2,31,ROAD_CLOSED_EVENT,,,-43.202721,-22.939158,,2025-05-12,Cosme Velho,
BR,Nova Iguaçu,2,False,1,7,HAZARD,6753ae4d-e9d5-43c5-9e21-c4ff582b6ccf,1,105,HAZARD_ON_ROAD_POT_HOLE,Est. Granja,,-43.534674,-22.748773,,2025-05-12,Palhada,
BR,Rio de Janeiro,3,False,1,9,HAZARD,2c5b4243-466b-4833-888e-4dbdf8aa9660,1,254,HAZARD_ON_ROAD_POT_HOLE,R. Lagoa Bonita,,-43.484065,-22.975353,,2025-05-12,Vargem Grande,
BR,Rio de Janeiro,1,False,5,10,HAZARD,655bf648-97a5-4d39-a13b-dd4d87b2f9b1,2,66,HAZARD_ON_ROAD_POT_HOLE,Av. Joaquim Magalhães,,-43.538098,-22.893042,,2025-05-12,Senador Vasconcelos,
BR,Rio de Janeiro,2,False,5,10,HAZARD,0d8f46f5-75d4-4325-bc11-ca24dec57b6a,1,70,HAZARD_ON_ROAD_POT_HOLE,Est. do Sacarrão,,-43.48936,-22.976187,,2025-05-12,Vargem Grande,
BR,Rio de Janeiro,3,False,0,5,HAZARD,a398fca1-8711-42d2-a6c0-e4421382d0c7,1,95,HAZARD_ON_ROAD_POT_HOLE,R. Mário Mendes,,-43.541714,-22.899381,,2025-05-12,Senador Vasconcelos,
BR,Rio de Janeiro,2,False,3,10,HAZARD,55d3490e-bce3-4c36-aed6-8f2ff37631ad,2,160,HAZARD_ON_ROAD_POT_HOLE,Av. Gláucio Gil,,-43.458438,-23.02184,,2025-05-12,Recreio dos Bandeirantes,
BR,Itaguaí,0,False,0,6,HAZARD,1254297f-5bba-4d96-be1e-836fe2625d71,1,206,HAZARD_ON_ROAD_POT_HOLE,Est. José Maia de Oliveira,,-43.763276,-22.834029,,2025-05-12,,
BR,Belford Roxo,1,False,0,5,HAZARD,affa397f-05e0-4d8b-bf4c-81bcfb63cd68,1,333,HAZARD_ON_ROAD_POT_HOLE,R. Nunes Sampaio,,-43.42328,-22.747925,,2025-05-12,Andrade Araújo,
BR,Rio de Janeiro,1,False,0,6,HAZARD,6d2f2ffd-e56f-47d6-8bfb-4199d5e52ed9,1,50,HAZARD_ON_ROAD_POT_HOLE,R. João de Medeiros,,-43.592624,-22.894171,,2025-05-12,Inhoaíba,
BR,Nova Iguaçu,2,False,5,10,HAZARD,813a9401-6995-499b-91ec-6e4cc65ed171,2,295,HAZARD_ON_ROAD_POT_HOLE,R. Cel. Bernardino de Melo,,-43.440128,-22.765076,,2025-05-12,Kaonze,
BR,Rio de Janeiro,2,False,0,6,HAZARD,909f71e1-76be-439a-86cf-343b556ffdf3,1,294,HAZARD_ON_ROAD_POT_HOLE,R. Carambu,,-43.589333,-22.886315,,2025-05-12,Campo Grande,
BR,Rio de Janeiro,5,False,0,6,ROAD_CLOSED,a07f37d8-b1c4-46c9-94b2-81fd4063bc0b,2,326,ROAD_CLOSED_EVENT,,,-43.20429,-22.959572,,2025-05-12,Jardim Botânico,
BR,Rio de Janeiro,0,False,0,5,HAZARD,4d01f3c8-5bbf-4d15-87be-7f710434a0f4,1,359,HAZARD_ON_ROAD_POT_HOLE,R. Aricuri,,-43.56431,-22.890879,,2025-05-12,Campo Grande,
BR,Rio de Janeiro,0,False,4,10,HAZARD,b2f8e0bb-590f-485e-a9ee-da0d4b7f9caa,2,345,HAZARD_ON_ROAD_POT_HOLE,R. Frei Caneca,,-43.19548,-22.913108,,2025-05-12,Cidade Nova,
BR,Rio de Janeiro,3,False,3,10,HAZARD,58ffadc0-6570-48bf-b3de-d7f79f5ddc4f,2,176,HAZARD_ON_ROAD_POT_HOLE,Av. Francisco Bicalho,,-43.210179,-22.906036,,2025-05-12,Centro,
BR,Rio de Janeiro,3,False,4,10,HAZARD,5fb3c9de-44d2-4813-84c5-ad67b0f4b6f2,2,256,HAZARD_ON_ROAD_POT_HOLE,Est. dos Bandeirantes,,-43.382384,-22.958242,,2025-05-12,Curicica,
